model,index,generated_expectation_value,solution_expectation_value,delta_expectation_value,abs_delta_expectation_value,file_path
deepseek,0,25.0,-1.0311979370209843,26.031197937020984,26.031197937020984,generated_circuits/deepseek/sample_0_gen1.qasm
deepseek,1,-1.230869614414866,-2.5923615898025028,1.3614919753876367,1.3614919753876367,generated_circuits/deepseek/sample_1_gen1.qasm
deepseek,2,3.0343362816397095,-15.67700291443172,18.711339196071428,18.711339196071428,generated_circuits/deepseek/sample_2_gen1.qasm
deepseek,3,0.6010172198765212,0.3525341330154117,0.24848308686110954,0.24848308686110954,generated_circuits/deepseek/sample_3_gen1.qasm
deepseek,4,-1.6154612370034016e-16,0.652306994927639,-0.6523069949276391,0.6523069949276391,generated_circuits/deepseek/sample_4_gen1.qasm
deepseek,5,21.01413778410481,-8.074961266614176,29.089099050718985,29.089099050718985,generated_circuits/deepseek/sample_5_gen1.qasm
deepseek,6,1.5135388738193318,-0.7662989940516716,2.279837867871003,2.279837867871003,generated_circuits/deepseek/sample_6_gen1.qasm
deepseek,7,-0.10607159543139794,-4.5020730840172245,4.396001488585827,4.396001488585827,generated_circuits/deepseek/sample_7_gen1.qasm
deepseek,8,-2.220446049250313e-16,-1.7499755212055943,1.749975521205594,1.749975521205594,generated_circuits/deepseek/sample_8_gen1.qasm
deepseek,9,0.027216357237132657,-0.007242163138784894,0.03445852037591755,0.03445852037591755,generated_circuits/deepseek/sample_9_gen1.qasm
deepseek,10,1.1523105776102163,-0.11528423210634947,1.2675948097165657,1.2675948097165657,generated_circuits/deepseek/sample_10_gen1.qasm
deepseek,11,-0.007017695133237673,-1.8704496506646833,1.8634319555314456,1.8634319555314456,generated_circuits/deepseek/sample_11_gen1.qasm
deepseek,12,9.049479779898659e-16,-56.46113198252194,56.46113198252194,56.46113198252194,generated_circuits/deepseek/sample_12_gen1.qasm
deepseek,13,0.7285281608818404,-2.342471992308787,3.071000153190627,3.071000153190627,generated_circuits/deepseek/sample_13_gen1.qasm
deepseek,14,2.84223599517075e-16,1.2124409477910487,-1.2124409477910485,1.2124409477910485,generated_circuits/deepseek/sample_14_gen1.qasm
deepseek,15,1.2999592413185077,-0.7709214051847534,2.070880646503261,2.070880646503261,generated_circuits/deepseek/sample_15_gen1.qasm
deepseek,16,1.0782095792276145,-2.3161808051364057,3.39439038436402,3.39439038436402,generated_circuits/deepseek/sample_16_gen1.qasm
deepseek,17,2.3875907379843813e-05,-2.0128343444747454,2.012858220382125,2.012858220382125,generated_circuits/deepseek/sample_17_gen1.qasm
deepseek,18,-16.767629310942134,-27.283088373154055,10.51545906221192,10.51545906221192,generated_circuits/deepseek/sample_18_gen1.qasm
deepseek,19,5.967177706817095e-16,-12.978959306564377,12.978959306564377,12.978959306564377,generated_circuits/deepseek/sample_19_gen1.qasm
